,Summary,,YTD,YTD Projection,1,2,3,4,5,6,7,8,9,10,11,12
,Total Revenue (Recognized Revenue),,"1,271,379,006","5,085,516,024","427,240,538","415,925,538","428,212,929","361,936,442","343,836,442","123,919,942","107,414,108","98,384,108","98,384,108","93,893,333","93,893,333","93,893,333"
,Operation Cost,,"193,731,505","774,926,020","60,657,261","49,041,267","84,032,977",0,0,0,0,0,0,0,0,0
,Total Cost,,,,,,,,,,,,,,,
,Contribution Margin,,"1,077,647,501","4,310,590,004","366,583,277","366,884,271","344,179,952","361,936,442","343,836,442","123,919,942","107,414,108","98,384,108","98,384,108","93,893,333","93,893,333","93,893,333"
,Contribution Margin %,,84.76%,84.76%,85.80%,88.21%,80.38%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,Net Income,,,,,,,,,,,,,,,
,Revenue Goal,,"823,999,000","3,295,996,000","268,666,333","264,666,333","290,666,333","529,741,253","529,741,253","529,741,253","465,500,000","527,500,000","589,500,000","654,000,000","716,000,000","778,000,000"
,Diff,,"447,380,006","1,789,520,024","158,574,205","151,259,205","137,546,596","-167,804,811","-185,904,811","-405,821,311","-358,085,892","-429,115,892","-491,115,892","-560,106,667","-622,106,667","-684,106,667"
,DIff (%),,54.29%,54.29%,59.02%,57.15%,47.32%,-31.68%,-35.09%,-76.61%,-76.93%,-81.35%,-83.31%,-85.64%,-86.89%,-87.93%
,Contribution Margin per hour,,"189,895","189,895","189,731","197,258","193,287","185,039","13,753,458","4,956,798","4,296,564","3,935,364","3,935,364","3,755,733","3,755,733","3,755,733"
,,,,,,,,,,,,,,,,
Revenue Topline,By Client Entity,,,,,,,,,,,,,,,
,Total Revenue,,"1,271,319,006","5,085,276,024","427,240,538","415,925,538","428,152,929","361,936,442","343,836,442","123,919,942","107,414,108","98,384,108","98,384,108","93,893,333","93,893,333","93,893,333"
,,Monday,0,0,0,0,0,"4,490,775","4,490,775","4,490,775","4,490,775","4,490,775","4,490,775",0,0,0
,,Databricks,"44,732,500","178,930,000","11,720,833","16,505,833","16,505,833","16,505,833","16,505,833","16,505,833",0,0,0,0,0,0
,,Ralph Lauren,"11,250,000","45,000,000","3,750,000","3,750,000","3,750,000","3,750,000",0,0,0,0,0,0,0,0
,,Samsung,"17,090,000","68,360,000","10,045,000","7,045,000",0,0,0,0,0,0,0,0,0,0
,,Merck,"5,320,000","21,280,000","5,000,000",0,"320,000","9,030,000","9,030,000","9,030,000","9,030,000",0,0,0,0,0
,,Omnicon,"8,100,000","32,400,000","8,100,000",0,0,0,0,0,0,0,0,0,0,0
,,Adobe APAC,"535,466,506","2,141,866,024","189,821,372","189,821,372","155,823,763","173,680,900","173,680,900",0,0,0,0,0,0,0
,,Adobe KR,"611,010,000","2,444,040,000","198,803,333","198,803,333","213,403,333","93,893,333","93,893,333","93,893,333","93,893,333","93,893,333","93,893,333","93,893,333","93,893,333","93,893,333"
,,Loreal,"24,000,000","96,000,000",0,0,"24,000,000","24,000,000","24,000,000",0,0,0,0,0,0,0
,,Nike,"14,350,000","57,400,000",0,0,"14,350,000","14,350,000",0,0,0,0,0,0,0,0
,,Dongsuh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Salesforce,0,0,0,0,0,"22,235,600","22,235,600",0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
,By Package,,,,,,,,,,,,,,,
,Total Revenue,,"1,271,319,006","5,085,276,024","427,240,538","415,925,538","428,152,929","361,936,442","343,836,442","123,919,942","107,414,108","98,384,108","98,384,108","93,893,333","93,893,333","93,893,333"
,,Consulting,"71,125,000","284,500,000","21,608,333","10,508,333","39,008,333","56,508,333","45,608,333","4,108,333",0,0,0,0,0,0
,,Retainer,"1,195,454,006","4,781,816,024","404,987,205","404,772,205","385,694,596","297,242,509","293,492,509","119,811,608","107,414,108","98,384,108","98,384,108","93,893,333","93,893,333","93,893,333"
,,Tech Audit,"4,740,000","18,960,000","645,000","645,000","3,450,000","6,440,000","2,990,000",0,0,0,0,0,0,0
,,VIVI,0,0,0,0,0,"1,745,600","1,745,600",0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
,Sales Account,,,,,,,,,,,,,,,
,Total Account,,54,216,19,17,18,19,16,7,4,2,2,1,1,1
,,Consulting,9,36,4,2,3,4,3,1,0,0,0,0,0,0
,,Retainer,42,168,14,14,14,12,11,6,4,2,2,1,1,1
,,Tech Audit,3,12,1,1,1,2,1,0,0,0,0,0,0,0
,,VIVI,0,0,0,0,0,1,1,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
Total Resource,Headcount,,,,,,,,,,,,,,,
,Total Resource (hours),,"5,675","22,700","1,980","1,884","1,811","1,956",25,25,25,25,25,25,25,25
,Contribution Margin per hour,,"189,895","189,895","189,731","197,258","193,287","185,039","13,753,458","4,956,798","4,296,564","3,935,364","3,935,364","3,755,733","3,755,733","3,755,733"
,,Full time (head),25,100,9,8,8,9,,,,,,,,
,,Full time (hours),"5,225","20,900","1,881","1,672","1,672","1,881",0,0,0,0,0,0,0,0
,,Freelancer (hours),450,"1,800",99,212,139,75,25,25,25,25,25,25,25,25
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Cost Topline,By Client Entity,,,,,,,,,,,,,,,
,Grand Total Cost,,"559,025,479","2,236,101,916","215,731,900","150,936,612","192,356,967",0,0,0,0,0,0,0,0,0
,Total Project Cost,,"173,981,178","695,924,712","51,601,157","44,199,886","78,180,135",0,0,0,0,0,0,0,0,0
,,Monday,"4,800,000","19,200,000","4,800,000",0,0,0,0,0,0,0,0,0,0,0
,,Databricks,"1,728,635","6,914,540","580,000","560,860","587,775",0,0,0,0,0,0,0,0,0
,,Ralph Lauren,"500,000","2,000,000",0,"500,000",0,0,0,0,0,0,0,0,0,0
,,Gitlab,"37,520","150,080","20,520","17,000",0,0,0,0,0,0,0,0,0,0
,,Samsung,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Merck,"6,466,700","25,866,800","1,535,000","2,417,500","2,514,200",0,0,0,0,0,0,0,0,0
,,Omnicon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Adobe APAC,"59,659,686","238,638,744","6,766,562","25,667,366","27,225,758",0,0,0,0,0,0,0,0,0
,,Adobe KR,"97,921,794","391,687,176","36,862,750","14,285,224","46,773,820",0,0,0,0,0,0,0,0,0
,,Loreal,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Nike,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Dongsuh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Salesforce,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,VIVI,"2,866,843","11,467,372","1,036,325","751,936","1,078,582",0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
,By Package,,,,,,,,,,,,,,,
,Total Package Cost,,"173,981,178","695,924,712","51,601,157","44,199,886","78,180,135",0,0,0,0,0,0,0,0,0
,,Consulting,"1,140,860","4,563,440","580,000","560,860",0,0,0,0,0,0,0,0,0,0
,,Retainer,"169,973,475","679,893,900","49,984,832","42,887,090","77,101,553",0,0,0,0,0,0,0,0,0
,,Tech Audit,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,VIVI,"2,866,843","11,467,372","1,036,325","751,936","1,078,582",0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
,Ref. Operation cost,,"19,750,327","79,001,308","9,056,104","4,841,381","5,852,842",0,0,0,0,0,0,0,0,0
,Operation cost,"Project Operation(tool, outsourcing etc.)","11,819,785","47,279,140","6,548,649","1,180,833","4,090,303",0,0,0,0,0,0,0,0,0
,,"Product Operation(tool, outsourcing etc.)","4,817,709","19,270,836","1,430,309","2,661,130","726,270",0,0,0,0,0,0,0,0,0
,,Software Subsrcription + Purchase,"3,112,833","12,451,332","1,077,146","999,418","1,036,269",0,0,0,0,0,0,0,0,0